Username,Email,Password,Role,IsMainManager
alice,alice@example.com,secret123,manager,1
bob,bob@example.com,myPass456,member,0
charlie,charlie@example.com,password789,member,0
david,david@example.com,pass1234,manager,0
eve,eve@example.com,qwerty123,member,0
frank,frank@example.com,12345678,manager,1
grace,grace@example.com,abcDEF123,member,0
heidi,heidi@example.com,zxcvbnm123,member,0
ivan,ivan@example.com,passIvan2024,member,0
judy,judy@example.com,myJudyPass,manager,0
karl,karl@example.com,karlPass1,member,0
laura,laura@example.com,lauraSecret,member,0
mike,mike@example.com,mike2024pass,manager,1
nina,nina@example.com,ninaPassword,member,0
oliver,oliver@example.com,oliverPass,member,0
peggy,peggy@example.com,peggy2024,manager,0
quentin,quentin@example.com,quentinPwd,member,0
rachel,rachel@example.com,rachel1234,member,0
sam,sam@example.com,samPass999,manager,0
trent,trent@example.com,trentPass,member,0
